"Departure Date

","Flight Number
","Segment
","Booked Load
(Adult/Infant)","Go Shows
",No Recs.,No Shows,"Flown Load
",report_from_date,report_to_date
08/18/2025,RB502,SHJ/DAM,47 \ 2,0.0,0.0,4.0,45,2025-08-01,
08/18/2025,RB522,DOH/DAM,23 \ 1,0.0,0.0,0.0,24,2025-08-01,
08/18/2025,RB445,ALP/IST,96 \ 1,0.0,0.0,3.0,94,2025-08-01,
08/18/2025,RB446,IST/DAM,45 \ 1,0.0,0.0,1.0,45,2025-08-01,
08/19/2025,RB515,DAM/DXB,138 \ 5,0.0,0.0,0.0,143,2025-08-01,
08/19/2025,RB341,DAM/KWI,141 \ 3,0.0,0.0,2.0,132,2025-08-01,
08/19/2025,RB342,KWI/DAM,111 \ 5,0.0,0.0,1.0,115,2025-08-01,
08/19/2025,RB516,DXB/DAM,40 \ 4,0.0,0.0,2.0,42,2025-08-01,
08/19/2025,RB503,DAM/AUH,159 \ 7,0.0,0.0,0.0,166,2025-08-01,
08/19/2025,RB501,DAM/SHJ,158 \ 4,0.0,1.0,0.0,161,2025-08-01,
08/19/2025,RB443,DAM/IST,101 \ 2,0.0,0.0,3.0,100,2025-08-01,
08/19/2025,RB504,AUH/DAM,51 \ 0,0.0,0.0,2.0,49,2025-08-01,
08/19/2025,RB502,SHJ/DAM,34 \ 1,0.0,0.0,3.0,32,2025-08-01,
08/19/2025,RB444,IST/DAM,86 \ 1,0.0,0.0,3.0,84,2025-08-01,
08/20/2025,RB505,DAM/SHJ,139 \ 3,0.0,0.0,2.0,140,2025-08-01,
08/20/2025,RB515,DAM/DXB,144 \ 3,0.0,0.0,0.0,147,2025-08-01,
08/20/2025,RB389,DAM/RUH,152 \ 3,0.0,0.0,2.0,153,2025-08-01,
08/20/2025,RB506,SHJ/DAM,85 \ 4,0.0,1.0,2.0,86,2025-08-01,
08/20/2025,RB390,RUH/DAM,42 \ 0,0.0,0.0,3.0,38,2025-08-01,
08/20/2025,RB516,DXB/DAM,63 \ 0,0.0,0.0,5.0,58,2025-08-01,
08/20/2025,RB521,DAM/DOH,160 \ 7,0.0,0.0,0.0,167,2025-08-01,
08/20/2025,RB501,DAM/SHJ,150 \ 7,0.0,0.0,1.0,156,2025-08-01,
08/20/2025,RB443,DAM/IST,130 \ 2,0.0,0.0,0.0,132,2025-08-01,
08/20/2025,RB522,DOH/DAM,82 \ 7,0.0,0.0,4.0,82,2025-08-01,
08/20/2025,RB502,SHJ/DAM,28 \ 1,0.0,0.0,2.0,27,2025-08-01,
08/20/2025,RB444,IST/DAM,95 \ 3,0.0,0.0,3.0,95,2025-08-01,
08/21/2025,RB505,DAM/SHJ,132 \ 7,0.0,0.0,0.0,139,2025-08-01,
08/21/2025,RB515,DAM/DXB,152 \ 3,0.0,0.0,1.0,154,2025-08-01,
08/21/2025,RB527,DAM/DMM,158 \ 5,0.0,0.0,3.0,160,2025-08-01,
08/21/2025,RB506,SHJ/DAM,43 \ 3,0.0,0.0,1.0,45,2025-08-01,
08/21/2025,RB528,DMM/DAM,46 \ 0,0.0,0.0,1.0,45,2025-08-01,
08/21/2025,RB516,DXB/DAM,42 \ 2,0.0,1.0,4.0,39,2025-08-01,
08/21/2025,RB381,DAM/JED,155 \ 5,0.0,0.0,1.0,155,2025-08-01,
08/21/2025,RB501,DAM/SHJ,155 \ 8,0.0,1.0,1.0,161,2025-08-01,
08/21/2025,RB341,DAM/KWI,151 \ 4,0.0,0.0,0.0,155,2025-08-01,
08/21/2025,RB382,JED/DAM,18 \ 0,0.0,0.0,1.0,17,2025-08-01,
08/21/2025,RB342,KWI/DAM,96 \ 9,0.0,0.0,0.0,105,2025-08-01,
08/21/2025,RB502,SHJ/DAM,29 \ 0,0.0,0.0,2.0,27,2025-08-01,
08/21/2025,RB445,DAM/IST,76 \ 0,0.0,0.0,0.0,76,2025-08-01,
08/21/2025,RB446,IST/DAM,48 \ 0,0.0,0.0,0.0,48,2025-08-01,
08/22/2025,RB505,DAM/SHJ,145 \ 4,0.0,0.0,0.0,149,2025-08-01,
08/22/2025,RB503,DAM/AUH,145 \ 8,0.0,0.0,0.0,153,2025-08-01,
08/22/2025,RB515,DAM/DXB,153 \ 7,0.0,0.0,0.0,160,2025-08-01,
