Flight Date,Flight No,Segment,COS,Seats Allocate,Over sell,Curtailed,Seats Sold,On Hold,Fixed,Seats Available,Fare Collection(USD),Seat Factor,Sur Charge,Flight Status,Baggage ,Sold Seats ,Ava.Seats 
8/22/2025,RB516,DXB/DAM,Y,145,0,0,57,0,0,88,"3,075.38",39%,0,ACT,0,57,88
8/22/2025,RB501,DAM/SHJ,C,12,0,0,10,0,0,2,"3,253.25",83%,0,ACT,0,10,2
8/22/2025,RB501,DAM/SHJ,Y,145,0,0,139,0,0,6,"24,903.58",96%,0,ACT,0,139,6
8/22/2025,RB443,DAM/IST,C,12,0,0,6,0,0,6,"1,796.80",50%,0,ACT,0,6,6
8/22/2025,RB443,DAM/IST,Y,141,0,0,84,0,0,57,"8,800.24",60%,0,ACT,0,84,57
8/22/2025,RB389,DAM/RUH,C,12,0,0,12,0,0,0,"4,439.98",100%,0,ACT,0,12,0
8/22/2025,RB389,DAM/RUH,Y,148,0,0,147,0,0,1,"29,220.81",99%,0,ACT,0,147,1
8/22/2025,RB444,IST/DAM,C,12,0,0,2,0,0,10,624,17%,0,ACT,0,2,10
8/22/2025,RB444,IST/DAM,Y,141,0,0,74,0,0,67,"8,483.15",52%,0,ACT,0,74,67
8/22/2025,RB502,SHJ/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/22/2025,RB502,SHJ/DAM,Y,145,0,0,34,0,0,111,"1,503.27",23%,0,ACT,0,34,111
8/22/2025,RB390,RUH/DAM,C,12,0,0,1,0,0,11,229.5,8%,0,ACT,0,1,11
8/22/2025,RB390,RUH/DAM,Y,148,0,0,24,0,0,124,770.33,16%,0,ACT,0,24,124
8/23/2025,RB505,DAM/SHJ,C,12,0,0,3,0,0,9,993.47,25%,0,ACT,0,3,9
8/23/2025,RB505,DAM/SHJ,Y,145,0,0,142,0,0,3,"21,137.34",98%,0,ACT,0,142,3
8/23/2025,RB515,DAM/DXB,C,12,0,0,10,0,0,2,"3,788.17",83%,0,ACT,0,10,2
8/23/2025,RB515,DAM/DXB,Y,145,0,0,142,0,0,3,"22,741.61",98%,0,ACT,0,142,3
8/23/2025,RB389,DAM/RUH,C,12,0,0,10,0,0,2,"3,539.98",83%,0,ACT,0,10,2
8/23/2025,RB389,DAM/RUH,Y,148,0,0,147,0,0,1,"24,543.57",99%,0,ACT,0,147,1
8/23/2025,RB390,RUH/DAM,C,12,0,0,2,0,0,10,693.34,17%,0,ACT,0,2,10
8/23/2025,RB390,RUH/DAM,Y,148,0,0,33,0,0,115,"2,020.90",22%,0,ACT,0,33,115
8/23/2025,RB506,SHJ/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/23/2025,RB506,SHJ/DAM,Y,145,0,0,46,0,0,99,"2,691.06",32%,0,ACT,0,46,99
8/23/2025,RB516,DXB/DAM,C,12,0,0,7,0,0,5,"2,604.13",58%,0,ACT,0,7,5
8/23/2025,RB516,DXB/DAM,Y,145,0,0,59,0,0,86,"3,481.08",41%,0,ACT,0,59,86
8/23/2025,RB521,DAM/DOH,C,12,0,0,12,0,0,0,"3,595.37",100%,0,ACT,0,12,0
8/23/2025,RB521,DAM/DOH,Y,148,0,0,147,0,0,1,"23,761.33",99%,0,ACT,0,147,1
8/23/2025,RB501,DAM/SHJ,C,12,0,0,11,0,0,1,"4,042.94",92%,0,ACT,0,11,1
8/23/2025,RB501,DAM/SHJ,Y,145,0,0,140,0,0,5,"21,419.24",97%,0,ACT,0,140,5
8/23/2025,RB341,DAM/KWI,C,12,0,0,11,0,0,1,"2,211.91",92%,0,ACT,0,11,1
8/23/2025,RB341,DAM/KWI,Y,141,0,0,141,0,0,0,"15,137.80",100%,0,ACT,0,141,0
8/23/2025,RB522,DOH/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/23/2025,RB522,DOH/DAM,Y,148,0,0,40,0,0,108,"4,993.48",27%,0,ACT,0,40,108
